Watford,0,Southampton,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton,1,Watford,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,0,Liverpool,3,0,5,9,1,5,0,1,9,9,15,0,4,0,0,9,7,3,0,23,15,7,2,18,15,45,671,60,656,33,683,451,260,337,367,106,285,325,14,11,23,9,27,26,0,12,14,3,12,5,2,20,896,17,13,1,0,8,1,1
Liverpool,1,Arsenal,3,0,8,4,1,3,0,1,10,4,11,1,3,0,0,8,6,1,0,14,7,8,2,23,12,44,344,36,352,54,334,272,114,195,190,45,188,155,9,12,25,14,22,36,0,16,20,5,19,4,13,29,543,13,8,0,0,5,1,2
Newcastle,0,Arsenal,3,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,12,10,0,2,23,1,54,252,41,265,16,290,207,98,142,159,65,160,81,4,14,21,5,13,33,0,15,18,7,8,2,15,9,426,12,11,0,0,9,1,1
Arsenal,1,Newcastle,3,0,9,6,0,7,0,3,11,8,17,0,5,0,0,15,7,0,0,15,15,9,3,24,16,35,784,55,764,22,797,477,333,401,413,66,433,320,5,6,21,4,15,14,0,9,5,0,13,2,8,9,921,16,12,0,0,0,1,0
Stoke,0,West Brom,3,0,5,5,0,3,0,1,2,10,8,0,5,0,0,5,6,2,0,18,10,6,0,16,8,46,439,45,440,20,465,305,178,245,238,111,255,119,14,13,18,9,6,19,0,11,8,4,15,2,4,12,607,11,11,0,0,4,1,0
West Brom,1,Stoke,3,1,5,6,0,4,0,1,7,7,13,0,2,0,0,10,1,4,0,27,6,5,0,25,10,57,455,58,454,21,491,326,181,266,242,60,274,178,9,6,19,14,18,26,0,18,8,4,11,3,9,9,628,12,12,1,0,4,0,1
Aston Villa,0,Sunderland,3,2,6,11,0,4,0,1,13,7,17,1,2,1,0,17,1,3,0,34,12,5,0,27,18,56,535,60,531,42,549,370,216,295,293,69,316,206,15,21,20,5,14,27,0,17,10,1,7,0,10,29,731,15,18,0,0,1,2,0
Sunderland,1,Aston Villa,3,2,3,3,0,1,0,1,3,3,4,0,3,0,0,4,1,2,0,13,8,4,2,14,6,65,294,30,329,31,328,229,127,183,171,78,188,93,5,9,32,15,22,39,0,19,20,4,8,1,14,22,516,12,14,0,0,4,1,1
Bournemouth,0,Leicester,3,1,2,0,0,3,0,0,2,3,3,0,2,0,0,4,0,1,0,19,15,4,1,36,2,63,429,43,449,54,438,310,179,240,247,72,255,165,6,11,16,12,21,30,0,12,18,0,11,1,9,26,597,21,19,0,0,1,1,0
Leicester,1,Bournemouth,3,1,2,2,0,0,0,0,4,0,3,0,0,1,0,1,3,0,0,21,7,4,1,30,3,77,310,49,338,42,345,262,125,192,193,60,166,161,12,12,30,6,29,17,0,10,7,3,19,1,19,21,500,6,9,0,0,1,1,0
Chelsea,0,Crystal Palace,3,1,9,9,0,8,0,0,17,9,19,0,7,0,0,15,7,4,0,23,13,7,0,15,19,70,553,55,568,46,577,417,205,307,312,84,275,264,13,5,16,4,9,19,0,10,9,2,12,0,9,21,747,13,16,0,0,3,1,1
Crystal Palace,1,Chelsea,3,2,5,6,0,2,0,1,8,4,12,0,1,0,0,6,6,1,0,23,8,7,0,24,10,66,304,34,336,37,333,248,121,175,194,63,175,132,4,7,17,13,9,45,0,19,26,8,11,2,15,15,501,10,13,0,0,7,3,1
Liverpool,0,West Ham,3,0,1,7,1,5,0,1,3,9,11,0,2,0,0,11,1,1,0,26,11,5,0,26,12,52,550,61,541,39,563,403,193,296,303,74,282,246,2,6,12,9,11,18,0,10,8,3,12,1,17,17,694,20,13,1,1,2,1,0
West Ham,1,Liverpool,3,3,5,4,0,3,0,0,8,4,9,0,3,0,0,9,2,1,0,15,16,7,1,16,6,73,286,44,315,25,334,237,119,182,176,61,176,122,9,8,25,2,20,25,0,12,13,5,11,0,12,14,487,5,12,0,0,1,0,0
Man City,0,Watford,3,2,5,8,0,5,0,1,7,10,13,0,5,0,0,11,7,0,0,26,7,9,2,13,15,35,654,41,648,15,674,424,261,347,338,75,353,261,13,13,15,8,11,17,0,12,5,5,8,1,9,9,813,20,10,0,0,0,2,0
Watford,1,Man City,3,0,0,2,0,5,0,0,3,4,4,0,3,0,0,7,0,0,0,13,8,3,0,11,4,52,434,41,445,19,467,293,193,253,231,76,301,109,8,6,30,13,19,23,0,6,17,5,12,1,12,3,610,11,10,2,0,3,0,1
Tottenham,0,Everton,3,0,6,8,0,6,0,0,10,10,18,1,1,0,0,10,9,1,0,22,10,6,1,16,18,57,425,47,435,32,450,301,175,234,243,73,229,180,5,9,25,8,13,17,0,9,8,1,9,3,20,16,601,12,13,1,0,3,0,0
Everton,1,Tottenham,3,0,3,4,0,1,0,0,4,4,6,0,2,0,0,3,2,3,0,16,18,2,0,17,6,87,398,48,437,26,459,305,178,249,233,97,245,143,8,12,17,5,6,19,0,9,10,6,14,1,9,11,608,15,19,2,0,6,1,0
Southampton,0,Norwich,3,3,8,13,0,2,0,2,15,6,17,0,6,0,0,11,7,4,1,37,9,6,8,22,18,48,548,70,526,45,551,395,200,294,297,92,298,206,10,5,16,4,15,19,0,10,9,2,6,2,4,22,699,9,8,0,0,1,1,0
Norwich,1,Southampton,3,0,1,3,0,2,0,0,3,3,5,0,1,0,0,3,1,2,0,14,6,4,1,23,5,72,317,38,351,27,362,259,126,200,188,91,177,121,4,9,14,10,11,28,0,13,15,1,6,0,12,15,480,7,8,1,0,5,6,0
Swansea,0,Man Utd,3,2,4,4,1,1,0,0,4,5,6,1,2,0,0,7,1,1,0,7,12,0,1,18,7,75,321,33,363,47,349,259,136,196,195,81,208,107,7,5,14,9,21,32,0,18,14,1,13,3,6,17,515,10,6,0,0,3,3,0
Man Utd,1,Swansea,3,1,4,6,0,1,0,1,6,4,10,0,1,0,0,5,4,2,0,22,8,1,4,17,10,85,618,51,652,56,647,433,268,366,331,102,384,217,9,6,15,7,18,20,0,11,9,1,7,1,15,28,809,9,11,1,1,2,2,0
Everton,0,Chelsea,5,3,9,5,0,0,0,0,9,5,11,0,3,0,0,6,4,4,0,19,13,7,5,12,11,51,339,38,352,17,373,258,130,189,197,76,183,131,9,17,23,7,7,39,0,24,15,7,15,0,12,12,532,7,7,1,0,1,1,1
Chelsea,1,Everton,5,1,2,6,0,7,0,1,8,6,10,0,5,0,0,9,4,2,0,32,12,14,4,15,13,61,549,60,550,15,595,387,221,322,283,107,261,242,7,20,21,9,11,12,0,5,7,0,12,2,12,5,718,5,8,0,0,6,1,0
Arsenal,0,Stoke,5,2,12,9,1,8,0,1,22,6,21,0,8,0,0,17,7,5,0,25,12,13,9,19,24,41,636,54,623,32,645,419,250,339,334,83,344,250,12,9,18,8,25,13,0,5,8,3,5,3,6,12,811,9,14,0,0,3,0,1
Stoke,1,Arsenal,5,0,3,2,0,3,0,0,2,6,8,0,0,0,0,5,3,0,0,7,8,1,1,18,6,53,281,32,302,24,310,235,98,155,179,59,181,94,8,10,16,12,15,31,0,13,18,8,14,3,13,7,469,11,14,1,0,10,0,0
Crystal Palace,0,Man City,5,0,2,6,0,2,0,0,5,5,9,0,1,0,0,6,3,1,0,21,10,4,1,23,7,58,346,43,361,30,374,274,128,196,205,90,191,123,11,7,17,4,21,29,0,13,16,5,12,5,13,19,530,10,13,0,1,6,1,0
Man City,1,Crystal Palace,5,1,7,9,0,5,0,3,9,9,17,0,4,0,0,8,9,4,0,21,16,4,4,30,17,64,488,43,509,29,523,355,195,255,294,52,254,246,4,4,15,11,18,21,0,10,11,2,11,0,13,10,646,14,11,1,0,2,1,1
Watford,0,Swansea,5,1,6,7,0,4,0,0,9,8,13,1,3,0,0,14,3,0,0,15,16,1,0,21,11,87,281,29,339,26,342,245,123,172,196,50,159,159,5,6,17,6,25,27,0,11,16,1,13,0,11,13,479,4,12,1,0,3,1,3
Swansea,1,Watford,5,0,3,4,0,1,0,0,3,5,8,0,0,0,0,6,1,1,0,21,11,3,1,24,7,79,484,61,502,50,513,366,195,300,260,85,297,181,6,7,8,5,8,39,0,20,19,4,7,6,14,20,669,11,12,2,0,5,0,0
West Brom,0,Southampton,5,0,1,4,0,3,0,1,4,3,6,0,2,0,0,3,3,2,0,17,6,4,0,17,7,74,296,53,317,48,322,266,102,183,184,48,168,154,6,6,20,6,9,28,0,18,10,5,11,1,5,21,487,8,19,0,0,4,4,1
